step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
111,467640,888,0.008504504231333466,0.25,0.9154929577464789,,,
112,475712,896,0.005665990883271502,0.5,0.935064935064935,,,
113,478152,904,0.012778839422451092,0.625,0.95,0.012473372120195968,0.625,0.9655172413793104
114,480784,912,0.013641917077537683,0.625,0.9534883720930233,,,
115,483224,920,0.012168045189357124,0.5,0.9591836734693877,,,
116,486752,928,0.011804943267784472,0.625,0.9571428571428572,,,
117,492840,936,0.006356642541624393,0.625,0.9655172413793104,,,
118,498160,944,0.010370416100477566,0.25,0.8813559322033898,,,
119,501112,952,0.00998079897889328,0.75,0.9722222222222222,,,
120,503168,960,0.01290645409635758,0.625,0.9523809523809523,,,
121,506120,968,0.01061656296008367,0.625,0.9587628865979382,0.012896110328402058,0.375,0.9367088607594937
122,509072,976,0.011534289853158549,0.5,0.9512195121951219,,,
123,512600,984,0.010069858435105996,0.375,0.9113924050632911,,,
124,517536,992,0.00856548481152556,0.125,0.8933333333333333,,,
125,521768,1000,0.00969782599954066,0.5,0.9365079365079365,,,
126,524528,1008,0.010826872401232654,0.625,0.958904109589041,,,
127,529080,1016,0.0075554762213488015,0.5,0.9436619718309859,,,
128,532992,1024,0.007116642340107319,0.625,0.9482758620689655,,,
129,536072,1032,0.01518063083841794,0.5,0.9102564102564102,0.010379775179689148,0.75,0.9491525423728814
130,540048,1040,0.009958857508022301,0.5,0.9466666666666667,,,
131,543768,1048,0.008610958019730417,0.75,0.9761904761904762,,,
132,550048,1056,0.007004873923795148,0.5,0.9285714285714286,,,
133,555176,1064,0.00855382965045814,0.5,0.9324324324324325,,,
134,558320,1072,0.011604580004220587,0.5,0.9431818181818182,,,
135,563512,1080,0.006485721544031047,0.75,0.9791666666666666,,,
136,568000,1088,0.008912495006878183,0.375,0.927710843373494,,,
137,574664,1096,0.0063586940395728726,0.625,0.9298245614035088,0.00893519248551862,0.625,0.9512195121951219
138,577616,1104,0.011509275150381268,0.5,0.9146341463414634,,,
139,581208,1112,0.01192504291987082,0.5,0.9230769230769231,,,
140,583456,1120,0.013371041895437249,0.75,0.9516129032258065,,,
141,586344,1128,0.012329139103434961,0.375,0.9285714285714286,,,
142,589872,1136,0.009665198623529226,0.625,0.9464285714285714,,,
143,595128,1144,0.008623731745415164,0.75,0.968421052631579,,,
144,598464,1152,0.010382611945611374,0.5,0.9375,,,
145,602248,1160,0.010026597407093432,0.5,0.9468085106382979,0.005256826306081524,0.625,0.9298245614035088
146,605840,1168,0.0077551279606939555,0.625,0.9577464788732394,,,
147,608088,1176,0.0141856379225928,0.25,0.9186046511627907,,,
148,611936,1184,0.010044235005289281,0.5,0.9333333333333333,,,
149,615720,1192,0.010709612237492597,0.125,0.9014084507042254,,,
150,620784,1200,0.007295123596550677,0.5,0.9431818181818182,,,
151,626680,1208,0.006104543063558368,0.875,0.9772727272727273,,,
152,629696,1216,0.010108584445374415,0.5,0.9315068493150684,,,
153,634312,1224,0.008805249612216185,0.5,0.9545454545454546,0.00924796297409089,0.5,0.9452054794520548
154,637904,1232,0.00941845575816627,0.5,0.9512195121951219,,,
155,640408,1240,0.011412441485272996,0.75,0.9661016949152542,,,
156,647328,1248,0.005462547581702577,0.5,0.9285714285714286,,,
157,650536,1256,0.010665996667889316,0.5,0.9444444444444444,,,
158,656304,1264,0.007154325648728749,0.5,0.9411764705882353,,,
159,661560,1272,0.0070842712008950415,0.875,0.9814814814814815,,,
160,665856,1280,0.009592926711190209,0.375,0.8873239436619719,,,
161,669512,1288,0.011195092223979802,0.625,0.9390243902439024,0.011382503563869526,0.5,0.95
162,671696,1296,0.011931444361318449,0.75,0.9701492537313433,,,
163,675992,1304,0.01044427831121619,0.375,0.9253731343283582,,,
164,683680,1312,0.006067501062448783,0.5,0.9193548387096774,,,
165,687272,1320,0.0071713321165665376,0.75,0.96,,,
166,690160,1328,0.01108377413276325,0.625,0.9428571428571428,,,
167,693944,1336,0.00822083730041573,0.75,0.9767441860465116,,,
168,696384,1344,0.012686885620763814,0.5,0.9305555555555556,,,
169,700040,1352,0.011482586326115082,0.25,0.8939393939393939,0.009660816939795473,0.625,0.9322033898305084
170,703504,1360,0.010565655603528054,0.375,0.9382716049382716,,,
171,708056,1368,0.00913552351149323,0.5,0.9295774647887324,,,
172,710368,1376,0.011933913886989528,0.375,0.9315068493150684,,,
173,713192,1384,0.010127102755363658,0.5,0.9230769230769231,,,
174,716336,1392,0.009076567431404312,0.625,0.9420289855072463,,,
175,721464,1400,0.007320857812332352,0.75,0.9791666666666666,,,
176,724352,1408,0.008669335740737123,0.75,0.9722222222222222,,,
177,727368,1416,0.008794419256441276,0.75,0.9714285714285714,0.008125233082900227,0.5,0.9540229885057471
178,736464,1424,0.004860179464049456,0.375,0.9404761904761905,,,
179,742936,1432,0.0037101008308805593,0.875,0.9833333333333333,,,
180,748832,1440,0.006883981436584838,0.5,0.9540229885057471,,,
181,752360,1448,0.008736100607139873,0.625,0.9605263157894737,,,
182,758384,1456,0.007922639700426582,0.5,0.9390243902439024,,,
183,763064,1464,0.00790201778540695,0.75,0.9594594594594594,,,
184,765504,1472,0.010238207565718272,0.625,0.9583333333333334,,,
185,769160,1480,0.010229850565265888,0.375,0.935064935064935,0.01026904061198374,0.625,0.9523809523809523
186,774608,1488,0.0069622983714158855,0.625,0.9137931034482759,,,
187,777240,1496,0.012604046287382016,0.5,0.9324324324324325,,,
188,780768,1504,0.008772324260587704,0.625,0.9540229885057471,,,
189,788968,1512,0.004126088275446465,0.875,0.9852941176470589,,,
190,795952,1520,0.007955271696814144,0.625,0.968421052631579,,,
191,800248,1528,0.009633455181140048,0.375,0.8955223880597015,,,
192,803328,1536,0.014730811807399803,0.375,0.8793103448275862,,,
193,805576,1544,0.014168356960192354,0.5,0.8983050847457628,0.008805755648698078,0.5,0.9523809523809523
194,809360,1552,0.010651694801805136,0.5,0.9466666666666667,,,
195,818520,1560,0.005934821675308298,0.375,0.9090909090909091,,,
196,823008,1568,0.009611810630035501,0.375,0.9193548387096774,,,
197,825384,1576,0.01250458292151211,0.5,0.9578947368421052,,,
198,837616,1584,0.0036980512713251936,0.75,0.967032967032967,,,
199,840504,1592,0.009514967296682659,0.75,0.9789473684210527,,,
200,847232,1600,0.0071000793455234575,0.375,0.90625,,,
201,849992,1608,0.009032143325423925,0.75,0.9791666666666666,0.006389564424034325,0.625,0.96
202,853328,1616,0.00853726101181803,0.875,0.9821428571428571,,,
203,858840,1624,0.006147744300863326,0.5,0.8852459016393442,,,
204,861472,1632,0.012194708791889407,0.75,0.9508196721311475,,,
205,865512,1640,0.008099721630052861,0.75,0.9722222222222222,,,
206,868336,1648,0.012108884140341496,0.25,0.8571428571428571,,,
207,873464,1656,0.007562609579606855,0.25,0.8888888888888888,,,
208,876736,1664,0.009150707112482231,0.625,0.9310344827586207,,,
209,884360,1672,0.0057624626637182924,0.625,0.9666666666666667,0.00837287932510791,0.625,0.95
210,887696,1680,0.009274539363785866,0.875,0.974025974025974,,,
211,890456,1688,0.00905184011149759,0.5,0.956989247311828,,,
212,894048,1696,0.009270433177352528,0.75,0.9714285714285714,,,
213,898280,1704,0.009965360423752892,0.625,0.9456521739130435,,,
214,901040,1712,0.011448287928832701,0.5,0.9384615384615385,,,
215,903928,1720,0.011790020010810197,0.25,0.8833333333333333,,,
216,912384,1728,0.005065201327198192,0.75,0.95,,,
217,917192,1736,0.007077632299676554,0.625,0.96875,0.005443680748389661,0.625,0.9310344827586207
218,922000,1744,0.009289833323237828,0.375,0.9178082191780822,,,
219,924504,1752,0.012585133384448454,0.5,0.946236559139785,,,
220,931488,1760,0.005404070938947312,0.625,0.9491525423728814,,,
221,934376,1768,0.009327704246958404,0.75,0.967391304347826,,,
222,937008,1776,0.008480396647159974,0.75,0.9791666666666666,,,
223,943288,1784,0.00644763537842474,0.625,0.9491525423728814,,,
224,947392,1792,0.01010957732614406,0.25,0.875,,,
225,951048,1800,0.007880704657185707,1.0,1.0,0.00854793769473768,0.625,0.9464285714285714
226,954256,1808,0.009112678408489417,0.625,0.958904109589041,,,
227,958872,1816,0.006471555403928834,0.625,0.958904109589041,,,
228,962272,1824,0.008334823024946434,0.625,0.9344262295081968,,,
229,968808,1832,0.006287756990318596,0.75,0.9518072289156626,,,
230,977456,1840,0.0067980896144904015,0.25,0.8695652173913043,,,
231,981048,1848,0.009405200420651962,0.25,0.9318181818181818,,,
232,987840,1856,0.006939091798548443,0.5,0.9117647058823529,,,
233,989704,1864,0.015503547252987268,0.5,0.9365079365079365,0.010005584557912013,0.5,0.9466666666666667
234,993552,1872,0.007515279687322121,0.5,0.9587628865979382,,,
235,996248,1880,0.01068351751074646,0.75,0.9565217391304348,,,
236,1004896,1888,0.004628783639684311,0.625,0.9473684210526315,,,
237,1008168,1896,0.009769505249976343,0.5,0.9404761904761905,,,
238,1014384,1904,0.00582711597603852,0.5,0.948051948051948,,,
239,1019256,1912,0.009307977344803117,0.375,0.9305555555555556,,,
240,1034560,1920,0.0034159734160108886,0.375,0.9397590361445783,,,
